,product-id,base-url,date,clouds
0,S2A_MSIL1C_20170103T142022_N0204_R010_T20JLL_20170103T142642.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170103T142022_N0204_R010_T20JLL_20170103T142642.SAFE,2017-01-03,6.9147
1,S2A_MSIL1C_20170113T142011_N0204_R010_T20JLL_20170113T142343.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170113T142011_N0204_R010_T20JLL_20170113T142343.SAFE,2017-01-13,59.0242
2,S2A_MSIL1C_20170123T142031_N0204_R010_T20JLL_20170123T143010.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170123T142031_N0204_R010_T20JLL_20170123T143010.SAFE,2017-01-23,42.1276
3,S2A_MSIL1C_20170212T142031_N0204_R010_T20JLL_20170212T142031.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170212T142031_N0204_R010_T20JLL_20170212T142031.SAFE,2017-02-12,0.0
4,S2A_MSIL1C_20170222T142031_N0204_R010_T20JLL_20170222T142357.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170222T142031_N0204_R010_T20JLL_20170222T142357.SAFE,2017-02-22,0.7016
5,S2A_MSIL1C_20170314T142031_N0204_R010_T20JLL_20170314T142035.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170314T142031_N0204_R010_T20JLL_20170314T142035.SAFE,2017-03-14,0.8206
6,S2A_MSIL1C_20170403T142031_N0204_R010_T20JLL_20170403T142033.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170403T142031_N0204_R010_T20JLL_20170403T142033.SAFE,2017-04-03,67.8939
7,S2A_MSIL1C_20170423T142041_N0204_R010_T20JLL_20170423T142038.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170423T142041_N0204_R010_T20JLL_20170423T142038.SAFE,2017-04-23,48.1315
8,S2A_MSIL1C_20170513T142041_N0205_R010_T20JLL_20170513T142040.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170513T142041_N0205_R010_T20JLL_20170513T142040.SAFE,2017-05-13,40.9933
9,S2A_MSIL1C_20170602T142041_N0205_R010_T20JLL_20170602T142039.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20170602T142041_N0205_R010_T20JLL_20170602T142039.SAFE,2017-06-02,15.7332
